countryId,countryLabel,capitalId,capitalLabel
Q851,Saudi Arabia,Q3692,Riyadh
Q1041,Senegal,Q3718,Dakar
Q403,Serbia,Q3711,Belgrade
Q1042,Seychelles,Q3940,Victoria
Q1044,Sierra Leone,Q3780,Freetown
Q334,Singapore,Q334,Singapore
Q214,Slovakia,Q1780,Bratislava
Q215,Slovenia,Q437,Ljubljana
Q685,Solomon Islands,Q40921,Honiara
Q1045,Somalia,Q2449,Mogadishu
Q258,South Africa,Q3926,Pretoria
Q258,South Africa,Q5465,Cape Town
Q258,South Africa,Q37701,Bloemfontein
Q884,South Korea,Q8684,Seoul
Q958,South Sudan,Q1947,Juba
Q29,Spain,Q2807,Madrid
Q854,Sri Lanka,Q35381,Colombo
Q854,Sri Lanka,Q41963,Sri Jayawardenepura Kotte
Q219060,State of Palestine,Q1218,Jerusalem
Q219060,State of Palestine,Q158119,Ramallah
Q1049,Sudan,Q1963,Khartoum
Q730,Suriname,Q3001,Paramaribo
Q34,Sweden,Q1754,Stockholm
Q39,Switzerland,Q70,Bern
Q858,Syria,Q3766,Damascus
Q1039,São Tomé and Príncipe,Q3932,São Tomé
Q865,Taiwan,Q1867,Taipei
Q863,Tajikistan,Q9365,Dushanbe
Q924,Tanzania,Q3866,Dodoma
Q869,Thailand,Q1861,Bangkok
Q778,The Bahamas,Q2467,Nassau
Q1005,The Gambia,Q3726,Banjul
Q945,Togo,Q3792,Lomé
Q678,Tonga,Q38834,Nuku'alofa
Q754,Trinidad and Tobago,Q39178,Port of Spain
Q948,Tunisia,Q3572,Tunis
Q43,Turkey,Q3640,Ankara
Q874,Turkmenistan,Q23438,Ashgabat
Q672,Tuvalu,Q34126,Funafuti
Q1036,Uganda,Q3894,Kampala
Q212,Ukraine,Q1899,Kyiv
Q878,United Arab Emirates,Q1519,Abu Dhabi
Q145,United Kingdom,Q84,London
Q30,United States of America,Q61,"Washington, D.C."
Q77,Uruguay,Q1335,Montevideo
Q265,Uzbekistan,Q269,Tashkent
Q686,Vanuatu,Q37806,Port Vila
Q237,Vatican City,Q237,Vatican City
Q717,Venezuela,Q1533,Caracas
Q881,Vietnam,Q1858,Hanoi
Q805,Yemen,Q2471,Sanaa
Q805,Yemen,Q131694,Aden
Q953,Zambia,Q3881,Lusaka
Q954,Zimbabwe,Q3921,Harare
